Match_ID,Team,Opponent,Bowler_Name,Overs,Maidens,Runs,Wickets,Economy,0s,4s,6s,Wides,No Balls
T20I # 1879,England,Pakistan,Ben Stokes,4,0,32,1,8.00,6,1,0,2,1
T20I # 1879,England,Pakistan,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0
T20I # 1879,England,Pakistan,Sam Curran,4,0,12,3,3.00,15,0,0,0,0
T20I # 1879,England,Pakistan,Adil Rashid,4,1,22,2,5.50,10,1,0,1,0
T20I # 1879,England,Pakistan,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0
T20I # 1879,England,Pakistan,Liam Livingstone,1,0,16,0,16.00,1,1,1,1,0
T20I # 1879,Pakistan,England,Shaheen Shah Afridi,2.1,0,13,1,6.00,6,1,0,0,0
T20I # 1879,Pakistan,England,Naseem Shah,4,0,30,0,7.50,15,3,1,1,0
T20I # 1879,Pakistan,England,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0
T20I # 1879,Pakistan,England,Shadab Khan,4,0,20,1,5.00,10,1,0,0,0
T20I # 1879,Pakistan,England,Mohammad Wasim,4,0,38,1,9.50,5,5,0,2,0
T20I # 1879,Pakistan,England,Iftikhar Ahmed,0.5,0,13,0,15.60,0,1,1,0,0
T20I # 1878,England,India,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0
T20I # 1878,England,India,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0
T20I # 1878,England,India,Sam Curran,4,0,42,0,10.50,9,5,2,0,0
T20I # 1878,England,India,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0
T20I # 1878,England,India,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0
T20I # 1878,England,India,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0
T20I # 1878,India,England,Bhuvneshwar Kumar,2,0,25,0,12.50,4,3,1,1,0
T20I # 1878,India,England,Arshdeep Singh,2,0,15,0,7.50,4,2,0,1,0
T20I # 1878,India,England,Axar Patel,4,0,30,0,7.50,10,2,2,0,0
T20I # 1878,India,England,Mohammed Shami,3,0,39,0,13.00,7,4,3,0,0
T20I # 1878,India,England,Ravichandran Ashwin,2,0,27,0,13.50,1,1,2,1,0
T20I # 1878,India,England,Hardik Pandya,3,0,34,0,11.33,5,1,2,0,0
T20I # 1877,Pakistan,New Zealand,Shaheen Shah Afridi,4,0,24,2,6.00,11,2,0,0,0
T20I # 1877,Pakistan,New Zealand,Naseem Shah,4,0,30,0,7.50,8,3,0,0,0
T20I # 1877,Pakistan,New Zealand,Haris Rauf,4,0,32,0,8.00,6,2,0,0,0
T20I # 1877,Pakistan,New Zealand,Mohammad Wasim,2,0,15,0,7.50,3,0,1,0,0
T20I # 1877,Pakistan,New Zealand,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0
T20I # 1877,Pakistan,New Zealand,Mohammad Nawaz,2,0,12,1,6.00,2,0,0,0,0
T20I # 1877,New Zealand,Pakistan,Trent Boult,4,0,33,2,8.25,9,5,0,0,0
T20I # 1877,New Zealand,Pakistan,Tim Southee,3.1,0,24,0,7.57,7,3,0,2,0
T20I # 1877,New Zealand,Pakistan,Lockie Ferguson,4,0,37,0,9.25,7,4,1,1,0
T20I # 1877,New Zealand,Pakistan,Mitchell Santner,4,0,26,1,6.50,6,1,0,0,0
T20I # 1877,New Zealand,Pakistan,Ish Sodhi,4,0,26,0,6.50,4,1,0,0,0
T20I # 1873,Zimbabwe,India,Richard Ngarava,4,1,44,1,11.00,12,2,4,1,1
T20I # 1873,Zimbabwe,India,Tendai Chatara,4,0,34,0,8.50,5,3,1,0,0
T20I # 1873,Zimbabwe,India,Blessing Muzarabani,4,0,50,1,12.50,5,8,0,1,0
T20I # 1873,Zimbabwe,India,Wellington Masakadza,2,0,12,0,6.00,5,1,0,1,0
T20I # 1873,Zimbabwe,India,Ryan Burl,1,0,14,0,14.00,1,1,1,0,0
T20I # 1873,Zimbabwe,India,Sikandar Raza,3,0,18,1,6.00,5,0,1,0,0
T20I # 1873,Zimbabwe,India,Sean Williams,2,0,9,2,4.50,6,0,0,2,0
T20I # 1873,India,Zimbabwe,Bhuvneshwar Kumar,3,1,11,1,3.66,14,1,0,1,0
T20I # 1873,India,Zimbabwe,Arshdeep Singh,2,0,9,1,4.50,9,1,0,2,0
T20I # 1873,India,Zimbabwe,Mohammed Shami,2,0,14,2,7.00,7,1,1,0,0
T20I # 1873,India,Zimbabwe,Hardik Pandya,3,0,16,2,5.33,10,1,0,2,1
T20I # 1873,India,Zimbabwe,Ravichandran Ashwin,4,0,22,3,5.50,13,3,0,1,0
T20I # 1873,India,Zimbabwe,Axar Patel,3.2,0,40,1,12.00,4,5,1,0,0
T20I # 1872,Pakistan,Bangladesh,Shaheen Shah Afridi,4,0,22,4,5.50,13,2,1,0,0
T20I # 1872,Pakistan,Bangladesh,Naseem Shah,3,0,15,0,5.00,9,2,0,0,0
T20I # 1872,Pakistan,Bangladesh,Mohammad Wasim,2,0,19,0,9.50,5,1,1,1,0
T20I # 1872,Pakistan,Bangladesh,Haris Rauf,4,0,21,1,5.25,11,2,0,0,0
T20I # 1872,Pakistan,Bangladesh,Shadab Khan,4,0,30,2,7.50,8,3,0,0,0
T20I # 1872,Pakistan,Bangladesh,Iftikhar Ahmed,3,0,15,1,5.00,9,2,0,0,0
T20I # 1872,Bangladesh,Pakistan,Taskin Ahmed,3,0,26,0,8.66,10,1,2,0,1
T20I # 1872,Bangladesh,Pakistan,Nasum Ahmed,4,0,14,1,3.50,13,0,0,2,0
T20I # 1872,Bangladesh,Pakistan,Shakib Al Hasan,4,0,35,1,8.75,6,5,0,0,0
T20I # 1872,Bangladesh,Pakistan,Mustafizur Rahman,4,0,21,1,5.25,8,0,0,0,0
T20I # 1872,Bangladesh,Pakistan,Ebadot Hossain,3.1,0,25,1,7.89,7,1,1,0,1
T20I # 1871,South Africa,Netherlands,Wayne Parnell,4,0,32,0,8.00,10,2,2,1,0
