Edition,Match_ID,Team,Opponent,Batting Position,Batsman_Name,Dismissal,Runs,Balls,Minutes Spent,4s,6s,Strike Rate
2024 T20WC,T20WC 2024 #1,Canada,United States of America,1,Aaron Johnson,c Kumar b Harmeet Singh,23,16,24,5,0,143.75
2024 T20WC,T20WC 2024 #1,Canada,United States of America,2,Navneet Dhaliwal,c Jasdeep Singh b Anderson,61,44,62,6,3,138.63
2024 T20WC,T20WC 2024 #1,Canada,United States of America,3,Pargat Singh,run out (Jasdeep Singh/†Patel),5,7,12,0,0,71.42
2024 T20WC,T20WC 2024 #1,Canada,United States of America,4,Nicholas Kirton,c Anderson b Ali Khan,51,31,43,3,2,164.51
2024 T20WC,T20WC 2024 #1,Canada,United States of America,5,Shreyas Movva †,not out,32,16,29,2,2,200.00
2024 T20WC,T20WC 2024 #1,Canada,United States of America,6,Dilpreet Bajwa,run out (Taylor/†Patel),11,5,5,1,1,220.00
2024 T20WC,T20WC 2024 #1,Canada,United States of America,7,Dilon Heyliger,not out,1,1,4,0,0,100.00
2024 T20WC,T20WC 2024 #1,United States of America,Canada,1,Steven Taylor,lbw b Kaleem Sana,0,2,2,0,0,0.00
2024 T20WC,T20WC 2024 #1,United States of America,Canada,2,Monank Patel (c)†,c †Movva b Heyliger,16,16,33,2,0,100.00
2024 T20WC,T20WC 2024 #1,United States of America,Canada,3,Andries Gous,c Johnson b Dutta,65,46,76,7,3,141.30
2024 T20WC,T20WC 2024 #1,United States of America,Canada,4,Aaron Jones,not out,94,40,56,4,10,235.00
2024 T20WC,T20WC 2024 #1,United States of America,Canada,5,Corey Anderson,not out,3,5,8,0,0,60.00
2024 T20WC,T20WC 2024 #2,Papua New Guinea,West Indies,1,Tony Ura,c †Pooran b Shepherd,2,5,7,0,0,40.00
2024 T20WC,T20WC 2024 #2,Papua New Guinea,West Indies,2,Assad Vala (c),c Chase b Joseph,21,22,26,2,1,95.45
2024 T20WC,T20WC 2024 #2,Papua New Guinea,West Indies,3,Lega Siaka,b Hosein,1,2,2,0,0,50.00
2024 T20WC,T20WC 2024 #2,Papua New Guinea,West Indies,4,Sese Bau,b Joseph,50,43,55,6,1,116.27
2024 T20WC,T20WC 2024 #2,Papua New Guinea,West Indies,5,Hiri Hiri,c Powell b Motie,2,6,10,0,0,33.33
2024 T20WC,T20WC 2024 #2,Papua New Guinea,West Indies,6,Charles Amini,c †Pooran b Russell,12,14,22,0,0,85.71
2024 T20WC,T20WC 2024 #2,Papua New Guinea,West Indies,7,Kiplin Doriga †,not out,27,18,23,3,0,150.00
2024 T20WC,T20WC 2024 #2,Papua New Guinea,West Indies,8,Chad Soper,b Russell,10,9,10,1,0,111.11
2024 T20WC,T20WC 2024 #2,Papua New Guinea,West Indies,9,Alei Nao,run out (Joseph),0,0,2,0,0,-
2024 T20WC,T20WC 2024 #2,Papua New Guinea,West Indies,10,Kabua Morea,not out,2,2,3,0,0,100.00
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,1,Brandon King,c Siaka b Vala,34,29,44,7,0,117.24
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,2,Johnson Charles,lbw b Nao,0,1,6,0,0,0.00
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,3,Nicholas Pooran †,c Ura b Kariko,27,27,30,1,2,100.00
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,4,Roston Chase,not out,42,27,39,4,2,155.55
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,5,Rovman Powell (c),c †Doriga b Soper,15,14,14,2,0,107.14
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,6,Sherfane Rutherford,c †Doriga b Vala,2,7,6,0,0,28.57
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,7,Andre Russell,not out,15,9,11,0,1,166.66
2024 T20WC,T20WC 2024 #3,Oman,Namibia,1,Kashyap Prajapati,lbw b Trumpelmann,0,1,1,0,0,0.00
2024 T20WC,T20WC 2024 #3,Oman,Namibia,2,Naseem Khushi †,c Erasmus b Trumpelmann,6,6,16,1,0,100.00
2024 T20WC,T20WC 2024 #3,Oman,Namibia,3,Aqib Ilyas (c),lbw b Trumpelmann,0,1,2,0,0,0.00
2024 T20WC,T20WC 2024 #3,Oman,Namibia,4,Zeeshan Maqsood,lbw b Scholtz,22,20,29,4,0,110.00
2024 T20WC,T20WC 2024 #3,Oman,Namibia,5,Khalid Kail,c & b Wiese,34,39,56,1,1,87.17
2024 T20WC,T20WC 2024 #3,Oman,Namibia,6,Ayaan Khan,c Frylinck b Erasmus,15,21,16,0,1,71.42
2024 T20WC,T20WC 2024 #3,Oman,Namibia,7,Mohammad Nadeem,lbw b Erasmus,6,10,10,0,0,60.00
2024 T20WC,T20WC 2024 #3,Oman,Namibia,8,Mehran Khan,lbw b Wiese,7,8,12,1,0,87.50
