Edition,Match_ID,Team,Opponent,Bowler_Name,Overs,Maidens,Runs,Wickets,Economy,0s,4s,6s,Wides,No Balls
2024 T20WC,T20WC 2024 #1,United States of America,Canada,Ali Khan,4,0,41,1,10.25,11,5,2,2,0
2024 T20WC,T20WC 2024 #1,United States of America,Canada,Saurabh Netravalkar,2,0,16,0,8.00,3,2,0,0,0
2024 T20WC,T20WC 2024 #1,United States of America,Canada,Harmeet Singh,4,0,27,1,6.75,11,3,1,0,0
2024 T20WC,T20WC 2024 #1,United States of America,Canada,Jasdeep Singh,3,0,24,0,8.00,7,4,0,0,0
2024 T20WC,T20WC 2024 #1,United States of America,Canada,Shadley van Schalkwyk,3,0,34,0,11.33,1,1,2,0,0
2024 T20WC,T20WC 2024 #1,United States of America,Canada,Steven Taylor,1,0,15,0,15.00,1,0,2,0,0
2024 T20WC,T20WC 2024 #1,United States of America,Canada,Corey Anderson,3,0,29,1,9.66,4,2,1,0,0
2024 T20WC,T20WC 2024 #1,Canada,United States of America,Kaleem Sana,4,0,34,1,8.50,9,4,0,3,0
2024 T20WC,T20WC 2024 #1,Canada,United States of America,Jeremy Gordon,3,0,44,0,14.66,7,4,3,3,2
2024 T20WC,T20WC 2024 #1,Canada,United States of America,Dilon Heyliger,3,0,19,1,6.33,9,0,1,2,0
2024 T20WC,T20WC 2024 #1,Canada,United States of America,Saad Bin Zafar,4,0,42,0,10.50,9,2,4,0,0
2024 T20WC,T20WC 2024 #1,Canada,United States of America,Nikhil Dutta,2.4,0,41,1,15.37,5,2,4,2,1
2024 T20WC,T20WC 2024 #1,Canada,United States of America,Pargat Singh,1,0,15,0,15.00,0,1,1,0,0
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,Akeal Hosein,3,0,9,1,3.00,13,1,0,0,0
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,Romario Shepherd,3,0,23,1,7.66,5,1,0,1,0
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,Andre Russell,3,0,19,2,6.33,8,2,0,1,0
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,Roston Chase,4,0,26,0,6.50,11,1,1,3,0
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,Alzarri Joseph,4,0,34,2,8.50,11,5,0,1,1
2024 T20WC,T20WC 2024 #2,West Indies,Papua New Guinea,Gudakesh Motie,3,0,24,1,8.00,7,2,1,0,0
