Player_Name,Profile_link
Aaron Johnson,https://espncricinfo.com/cricketers/aaron-johnson-1323683
Navneet Dhaliwal,https://espncricinfo.com/cricketers/navneet-dhaliwal-817069
Pargat Singh,https://espncricinfo.com/cricketers/pargat-singh-446690
Nicholas Kirton,https://espncricinfo.com/cricketers/nicholas-kirton-820685
Shreyas Movva †,https://espncricinfo.com/cricketers/shreyas-movva-1206190
Dilpreet Bajwa,https://espncricinfo.com/cricketers/dilpreet-bajwa-1229251
Dilon Heyliger,https://espncricinfo.com/cricketers/dilon-heyliger-1061467
Saad Bin Zafar (c),https://espncricinfo.com/cricketers/saad-bin-zafar-359746
Ali Khan,https://espncricinfo.com/cricketers/ali-khan-927119
Saurabh Netravalkar,https://espncricinfo.com/cricketers/saurabh-netravalkar-398513
Harmeet Singh,https://espncricinfo.com/cricketers/harmeet-singh-422847
Jasdeep Singh,https://espncricinfo.com/cricketers/jasdeep-singh-772471
Shadley van Schalkwyk,https://espncricinfo.com/cricketers/shadley-van-schalkwyk-334621
Steven Taylor,https://espncricinfo.com/cricketers/steven-taylor-348133
Corey Anderson,https://espncricinfo.com/cricketers/corey-anderson-277662
Monank Patel (c)†,https://espncricinfo.com/cricketers/monank-patel-1159641
Andries Gous,https://espncricinfo.com/cricketers/andries-gous-485379
Aaron Jones,https://espncricinfo.com/cricketers/aaron-jones-957645
Nitish Kumar,https://espncricinfo.com/cricketers/nitish-kumar-348129
Kaleem Sana,https://espncricinfo.com/cricketers/kaleem-sana-385938
Jeremy Gordon,https://espncricinfo.com/cricketers/jeremy-gordon-276370
Saad Bin Zafar,https://espncricinfo.com/cricketers/saad-bin-zafar-359746
Nikhil Dutta,https://espncricinfo.com/cricketers/nikhil-dutta-348135
Tony Ura,https://espncricinfo.com/cricketers/tony-ura-302845
Assad Vala (c),https://espncricinfo.com/cricketers/assad-vala-25056
Lega Siaka,https://espncricinfo.com/cricketers/lega-siaka-440990
Sese Bau,https://espncricinfo.com/cricketers/sese-bau-420427
Hiri Hiri,https://espncricinfo.com/cricketers/hiri-hiri-646175
Charles Amini,https://espncricinfo.com/cricketers/charles-amini-332980
Kiplin Doriga †,https://espncricinfo.com/cricketers/kiplin-doriga-646173
Chad Soper,https://espncricinfo.com/cricketers/chad-soper-574287
Alei Nao,https://espncricinfo.com/cricketers/alei-nao-524247
Kabua Morea,https://espncricinfo.com/cricketers/kabua-morea-524255
John Kariko,https://espncricinfo.com/cricketers/john-kariko-1295879
Akeal Hosein,https://espncricinfo.com/cricketers/akeal-hosein-530812
Romario Shepherd,https://espncricinfo.com/cricketers/romario-shepherd-677077
Andre Russell,https://espncricinfo.com/cricketers/andre-russell-276298
Roston Chase,https://espncricinfo.com/cricketers/roston-chase-391832
Alzarri Joseph,https://espncricinfo.com/cricketers/alzarri-joseph-670031
Gudakesh Motie,https://espncricinfo.com/cricketers/gudakesh-motie-670045
