team1,team2,winner,margin,ground,date,Edition,Match_id,ScoreCard Link
USA,CAN,U.S.A.,7 wickets, Dallas, June 01 2024,2024 T20WC,T20WC 2024 #1,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/united-states-of-america-vs-canada-1st-match-group-a-1415701/full-scorecard
WI,PNG,West Indies,5 wickets, Providence, June 02 2024,2024 T20WC,T20WC 2024 #2,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-papua-new-guinea-2nd-match-group-c-1415702/full-scorecard
OMA,NAM,Namibia,Super Over win, Bridgetown, June 02 2024,2024 T20WC,T20WC 2024 #3,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/namibia-vs-oman-3rd-match-group-b-1415703/full-scorecard
SL,SA,South Africa,6 wickets, New York, June 03 2024,2024 T20WC,T20WC 2024 #4,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/south-africa-vs-sri-lanka-4th-match-group-d-1415704/full-scorecard
AFG,UGA,Afghanistan,125 runs, Providence, June 03 2024,2024 T20WC,T20WC 2024 #5,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-uganda-5th-match-group-c-1415705/full-scorecard
SCOT,ENG,No result,, Bridgetown, June 04 2024,2024 T20WC,T20WC 2024 #6,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-scotland-6th-match-group-b-1415706/full-scorecard
NEP,NED,Netherlands,6 wickets, Dallas, June 04 2024,2024 T20WC,T20WC 2024 #7,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/nepal-vs-netherlands-7th-match-group-d-1415707/full-scorecard
IRE,IND,India,8 wickets, New York, June 05 2024,2024 T20WC,T20WC 2024 #8,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-ireland-8th-match-group-a-1415708/full-scorecard
PNG,UGA,Uganda,3 wickets, Providence, June 05 2024,2024 T20WC,T20WC 2024 #9,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/papua-new-guinea-vs-uganda-9th-match-group-c-1415709/full-scorecard
AUS,OMA,Australia,39 runs, Bridgetown, June 05 2024,2024 T20WC,T20WC 2024 #10,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-oman-10th-match-group-b-1415710/full-scorecard
USA,PAK,U.S.A.,Super Over win, Dallas, June 06 2024,2024 T20WC,T20WC 2024 #11,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/united-states-of-america-vs-pakistan-11th-match-group-a-1415711/full-scorecard
NAM,SCOT,Scotland,5 wickets, Bridgetown, June 06 2024,2024 T20WC,T20WC 2024 #12,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/namibia-vs-scotland-12th-match-group-b-1415712/full-scorecard
CAN,IRE,Canada,12 runs, New York, June 07 2024,2024 T20WC,T20WC 2024 #13,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/canada-vs-ireland-13th-match-group-a-1415713/full-scorecard
AFG,NZ,Afghanistan,84 runs, Providence, June 07 2024,2024 T20WC,T20WC 2024 #14,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-new-zealand-14th-match-group-c-1415714/full-scorecard
SL,BAN,Bangladesh,2 wickets, Dallas, June 07 2024,2024 T20WC,T20WC 2024 #15,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-sri-lanka-15th-match-group-d-1415715/full-scorecard
NED,SA,South Africa,4 wickets, New York, June 08 2024,2024 T20WC,T20WC 2024 #16,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/netherlands-vs-south-africa-16th-match-group-d-1415716/full-scorecard
AUS,ENG,Australia,36 runs, Bridgetown, June 08 2024,2024 T20WC,T20WC 2024 #17,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-england-17th-match-group-b-1415717/full-scorecard
WI,UGA,West Indies,134 runs, Providence, June 08 2024,2024 T20WC,T20WC 2024 #18,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-uganda-18th-match-group-c-1415718/full-scorecard
IND,PAK,India,6 runs, New York, June 09 2024,2024 T20WC,T20WC 2024 #19,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-pakistan-19th-match-group-a-1415719/full-scorecard
OMA,SCOT,Scotland,7 wickets, North Sound, June 09 2024,2024 T20WC,T20WC 2024 #20,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/oman-vs-scotland-20th-match-group-b-1415720/full-scorecard
SA,BAN,South Africa,4 runs, New York, June 10 2024,2024 T20WC,T20WC 2024 #21,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-south-africa-21st-match-group-d-1415721/full-scorecard
CAN,PAK,Pakistan,7 wickets, New York, June 11 2024,2024 T20WC,T20WC 2024 #22,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/canada-vs-pakistan-22nd-match-group-a-1415722/full-scorecard
NEP,SL,No result,, Lauderhill, June 11 2024,2024 T20WC,T20WC 2024 #23,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/nepal-vs-sri-lanka-23rd-match-group-d-1415723/full-scorecard
NAM,AUS,Australia,9 wickets, North Sound, June 11 2024,2024 T20WC,T20WC 2024 #24,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-namibia-24th-match-group-b-1415724/full-scorecard
USA,IND,India,7 wickets, New York, June 12 2024,2024 T20WC,T20WC 2024 #25,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/united-states-of-america-vs-india-25th-match-group-a-1415725/full-scorecard
WI,NZ,West Indies,13 runs, Tarouba, June 12 2024,2024 T20WC,T20WC 2024 #26,https://espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-new-zealand-26th-match-group-c-1415726/full-scorecard
