Owner,Repository Name,Repository Link,Star Count
mrdoob,three.js,https://github.com/topics/3d/mrdoob/three.js,104000
pmndrs,react-three-fiber,https://github.com/topics/3d/pmndrs/react-three-fiber,28200
libgdx,libgdx,https://github.com/topics/3d/libgdx/libgdx,23800
BabylonJS,Babylon.js,https://github.com/topics/3d/BabylonJS/Babylon.js,23600
FreeCAD,FreeCAD,https://github.com/topics/3d/FreeCAD/FreeCAD,23100
ssloy,tinyrenderer,https://github.com/topics/3d/ssloy/tinyrenderer,21300
lettier,3d-game-shaders-for-beginners,https://github.com/topics/3d/lettier/3d-game-shaders-for-beginners,18400
aframevr,aframe,https://github.com/topics/3d/aframevr/aframe,16900
blender,blender,https://github.com/topics/3d/blender/blender,14200
CesiumGS,cesium,https://github.com/topics/3d/CesiumGS/cesium,13300
4ian,GDevelop,https://github.com/topics/3d/4ian/GDevelop,12900
isl-org,Open3D,https://github.com/topics/3d/isl-org/Open3D,11900
MonoGame,MonoGame,https://github.com/topics/3d/MonoGame/MonoGame,11800
mapbox,mapbox-gl-js,https://github.com/topics/3d/mapbox/mapbox-gl-js,11400
metafizzy,zdog,https://github.com/topics/3d/metafizzy/zdog,10400
nerfstudio-project,nerfstudio,https://github.com/topics/3d/nerfstudio-project/nerfstudio,9900
timzhang642,3D-Machine-Learning,https://github.com/topics/3d/timzhang642/3D-Machine-Learning,9900
cocos,cocos-engine,https://github.com/topics/3d/cocos/cocos-engine,8400
FyroxEngine,Fyrox,https://github.com/topics/3d/FyroxEngine/Fyrox,8000
domlysz,BlenderGIS,https://github.com/topics/3d/domlysz/BlenderGIS,8000
