Owner,Repository Name,Repository Link,Star Count
amphp,amp,https://github.com/topics/amphp/amphp/amp,4300
danog,MadelineProto,https://github.com/topics/amphp/danog/MadelineProto,3000
amphp,parallel,https://github.com/topics/amphp/amphp/parallel,805000
unreal4u,telegram-api,https://github.com/topics/amphp/unreal4u/telegram-api,792000
amphp,http-client,https://github.com/topics/amphp/amphp/http-client,710000
amphp,byte-stream,https://github.com/topics/amphp/amphp/byte-stream,373000
amphp,mysql,https://github.com/topics/amphp/amphp/mysql,365000
php-service-bus,service-bus,https://github.com/topics/amphp/php-service-bus/service-bus,345000
amphp,parallel-functions,https://github.com/topics/amphp/amphp/parallel-functions,272000
xtrime-ru,TelegramRSS,https://github.com/topics/amphp/xtrime-ru/TelegramRSS,260000
amphp,socket,https://github.com/topics/amphp/amphp/socket,241000
amphp,process,https://github.com/topics/amphp/amphp/process,237000
amphp,sync,https://github.com/topics/amphp/amphp/sync,169000
amphp,dns,https://github.com/topics/amphp/amphp/dns,169000
amphp,redis,https://github.com/topics/amphp/amphp/redis,161000
amphp,websocket-client,https://github.com/topics/amphp/amphp/websocket-client,150000
kelunik,acme,https://github.com/topics/amphp/kelunik/acme,120000
amphp,serialization,https://github.com/topics/amphp/amphp/serialization,118000
amphp,websocket-server,https://github.com/topics/amphp/amphp/websocket-server,117000
amphp,cache,https://github.com/topics/amphp/amphp/cache,108000
