Owner,Repository Name,Repository Link,Star Count
flutter,flutter,https://github.com/topics/android/flutter/flutter,169000
facebook,react-native,https://github.com/topics/android/facebook/react-native,121000
Genymobile,scrcpy,https://github.com/topics/android/Genymobile/scrcpy,118000
justjavac,free-programming-books-zh_CN,https://github.com/topics/android/justjavac/free-programming-books-zh_CN,113000
Hack-with-Github,Awesome-Hacking,https://github.com/topics/android/Hack-with-Github/Awesome-Hacking,89100
Solido,awesome-flutter,https://github.com/topics/android/Solido/awesome-flutter,54800
tldr-pages,tldr,https://github.com/topics/android/tldr-pages/tldr,53700
wasabeef,awesome-android-ui,https://github.com/topics/android/wasabeef/awesome-android-ui,51600
google,material-design-icons,https://github.com/topics/android/google/material-design-icons,51100
laurent22,joplin,https://github.com/topics/android/laurent22/joplin,47800
appwrite,appwrite,https://github.com/topics/android/appwrite/appwrite,47300
square,okhttp,https://github.com/topics/android/square/okhttp,46200
android,architecture-samples,https://github.com/topics/android/android/architecture-samples,44800
square,retrofit,https://github.com/topics/android/square/retrofit,43300
skylot,jadx,https://github.com/topics/android/skylot/jadx,42900
dcloudio,uni-app,https://github.com/topics/android/dcloudio/uni-app,40400
fastlane,fastlane,https://github.com/topics/android/fastlane/fastlane,39900
termux,termux-app,https://github.com/topics/android/termux/termux-app,39100
2dust,v2rayNG,https://github.com/topics/android/2dust/v2rayNG,38600
PhilJay,MPAndroidChart,https://github.com/topics/android/PhilJay/MPAndroidChart,37800
