Owner,Repository Name,Repository Link,Star Count
justjavac,free-programming-books-zh_CN,https://github.com/topics/angular/justjavac/free-programming-books-zh_CN,113000
angular,angular,https://github.com/topics/angular/angular/angular,97000
storybookjs,storybook,https://github.com/topics/angular/storybookjs/storybook,85900
leonardomso,33-js-concepts,https://github.com/topics/angular/leonardomso/33-js-concepts,64700
ionic-team,ionic-framework,https://github.com/topics/angular/ionic-team/ionic-framework,51500
prettier,prettier,https://github.com/topics/angular/prettier/prettier,50000
Asabeneh,30-Days-Of-JavaScript,https://github.com/topics/angular/Asabeneh/30-Days-Of-JavaScript,44000
SheetJS,sheetjs,https://github.com/topics/angular/SheetJS/sheetjs,35400
wailsapp,wails,https://github.com/topics/angular/wailsapp/wails,26900
angular,angular-cli,https://github.com/topics/angular/angular/angular-cli,26800
paperless-ngx,paperless-ngx,https://github.com/topics/angular/paperless-ngx/paperless-ngx,25200
sudheerj,javascript-interview-questions,https://github.com/topics/angular/sudheerj/javascript-interview-questions,25100
nrwl,nx,https://github.com/topics/angular/nrwl/nx,24700
NativeScript,NativeScript,https://github.com/topics/angular/NativeScript/NativeScript,24600
angular,components,https://github.com/topics/angular/angular/components,24500
goldbergyoni,javascript-testing-best-practices,https://github.com/topics/angular/goldbergyoni/javascript-testing-best-practices,24300
pubkey,rxdb,https://github.com/topics/angular/pubkey/rxdb,22000
jhipster,generator-jhipster,https://github.com/topics/angular/jhipster/generator-jhipster,21700
teambit,bit,https://github.com/topics/angular/teambit/bit,18000
jasontaylordev,CleanArchitecture,https://github.com/topics/angular/jasontaylordev/CleanArchitecture,17600
