Owner,Repository Name,Repository Link,Star Count
bregman-arie,devops-exercises,https://github.com/topics/ansible/bregman-arie/devops-exercises,67900
ansible,ansible,https://github.com/topics/ansible/ansible/ansible,64099
trailofbits,algo,https://github.com/topics/ansible/trailofbits/algo,29200
MichaelCade,90DaysOfDevOps,https://github.com/topics/ansible/MichaelCade/90DaysOfDevOps,27700
StreisandEffect,streisand,https://github.com/topics/ansible/StreisandEffect/streisand,23200
kubernetes-sigs,kubespray,https://github.com/topics/ansible/kubernetes-sigs/kubespray,16500
ansible,awx,https://github.com/topics/ansible/ansible/awx,14300
semaphoreui,semaphore,https://github.com/topics/ansible/semaphoreui/semaphore,11400
easzlab,kubeasz,https://github.com/topics/ansible/easzlab/kubeasz,10700
netbootxyz,netboot.xyz,https://github.com/topics/ansible/netbootxyz/netboot.xyz,9800
geerlingguy,ansible-for-devops,https://github.com/topics/ansible/geerlingguy/ansible-for-devops,8700
khuedoan,homelab,https://github.com/topics/ansible/khuedoan/homelab,8400
Tikam02,DevOps-Guide,https://github.com/topics/ansible/Tikam02/DevOps-Guide,8400
geerlingguy,mac-dev-playbook,https://github.com/topics/ansible/geerlingguy/mac-dev-playbook,6200
Orange-Cyberdefense,GOAD,https://github.com/topics/ansible/Orange-Cyberdefense/GOAD,6000
rundeck,rundeck,https://github.com/topics/ansible/rundeck/rundeck,5700
ChristianLempa,boilerplates,https://github.com/topics/ansible/ChristianLempa/boilerplates,5200
KubeOperator,KubeOperator,https://github.com/topics/ansible/KubeOperator/KubeOperator,5000
clong,DetectionLab,https://github.com/topics/ansible/clong/DetectionLab,4700
dev-sec,ansible-collection-hardening,https://github.com/topics/ansible/dev-sec/ansible-collection-hardening,4200
