Owner,Repository Name,Repository Link,Star Count
public-apis,public-apis,https://github.com/topics/api/public-apis/public-apis,328000
neovim,neovim,https://github.com/topics/api/neovim/neovim,86300
fastapi,fastapi,https://github.com/topics/api/fastapi/fastapi,81100
hoppscotch,hoppscotch,https://github.com/topics/api/hoppscotch/hoppscotch,68300
strapi,strapi,https://github.com/topics/api/strapi/strapi,65099
ocornut,imgui,https://github.com/topics/api/ocornut/imgui,63300
meilisearch,meilisearch,https://github.com/topics/api/meilisearch/meilisearch,49300
QuivrHQ,quivr,https://github.com/topics/api/QuivrHQ/quivr,37300
slatedocs,slate,https://github.com/topics/api/slatedocs/slate,36100
trpc,trpc,https://github.com/topics/api/trpc/trpc,36100
Kong,insomnia,https://github.com/topics/api/Kong/insomnia,35700
httpie,cli,https://github.com/topics/api/httpie/cli,34800
ccxt,ccxt,https://github.com/topics/api/ccxt/ccxt,34700
hasura,graphql-engine,https://github.com/topics/api/hasura/graphql-engine,31400
mudler,LocalAI,https://github.com/topics/api/mudler/LocalAI,30500
Binaryify,NeteaseCloudMusicApi,https://github.com/topics/api/Binaryify/NeteaseCloudMusicApi,30300
directus,directus,https://github.com/topics/api/directus/directus,29100
encode,django-rest-framework,https://github.com/topics/api/encode/django-rest-framework,28800
YMFE,yapi,https://github.com/topics/api/YMFE/yapi,27500
littlecodersh,ItChat,https://github.com/topics/api/littlecodersh/ItChat,25900
