Owner,Repository Name,Repository Link,Star Count
arendst,Tasmota,https://github.com/topics/arduino/arendst/Tasmota,22800
MarlinFirmware,Marlin,https://github.com/topics/arduino/MarlinFirmware/Marlin,16500
tinygo-org,tinygo,https://github.com/topics/arduino/tinygo-org/tinygo,15800
espressif,arduino-esp32,https://github.com/topics/arduino/espressif/arduino-esp32,14300
arduino,Arduino,https://github.com/topics/arduino/arduino/Arduino,14200
SpacehuhnTech,esp8266_deauther,https://github.com/topics/arduino/SpacehuhnTech/esp8266_deauther,13800
rwaldron,johnny-five,https://github.com/topics/arduino/rwaldron/johnny-five,13300
gurugio,lowlevelprogramming-university,https://github.com/topics/arduino/gurugio/lowlevelprogramming-university,11300
hybridgroup,gobot,https://github.com/topics/arduino/hybridgroup/gobot,9100
platformio,platformio-core,https://github.com/topics/arduino/platformio/platformio-core,8100
justcallmekoko,ESP32Marauder,https://github.com/topics/arduino/justcallmekoko/ESP32Marauder,6900
bblanchon,ArduinoJson,https://github.com/topics/arduino/bblanchon/ArduinoJson,6800
tzapu,WiFiManager,https://github.com/topics/arduino/tzapu/WiFiManager,6800
olikraus,u8g2,https://github.com/topics/arduino/olikraus/u8g2,5400
Serial-Studio,Serial-Studio,https://github.com/topics/arduino/Serial-Studio/Serial-Studio,5200
omriharel,deej,https://github.com/topics/arduino/omriharel/deej,5000
ClemensElflein,OpenMower,https://github.com/topics/arduino/ClemensElflein/OpenMower,4700
Arduino-IRremote,Arduino-IRremote,https://github.com/topics/arduino/Arduino-IRremote/Arduino-IRremote,4600
arduino,arduino-cli,https://github.com/topics/arduino/arduino/arduino-cli,4500
blinker-iot,blinker-library,https://github.com/topics/arduino/blinker-iot/blinker-library,4200
