Owner,Repository Name,Repository Link,Star Count
sindresorhus,awesome,https://github.com/topics/awesome/sindresorhus/awesome,348000
vinta,awesome-python,https://github.com/topics/awesome/vinta/awesome-python,235000
awesome-selfhosted,awesome-selfhosted,https://github.com/topics/awesome/awesome-selfhosted/awesome-selfhosted,217000
trimstray,the-book-of-secret-knowledge,https://github.com/topics/awesome/trimstray/the-book-of-secret-knowledge,159000
avelino,awesome-go,https://github.com/topics/awesome/avelino/awesome-go,138000
521xueweihan,HelloGitHub,https://github.com/topics/awesome/521xueweihan/HelloGitHub,98700
papers-we-love,papers-we-love,https://github.com/topics/awesome/papers-we-love/papers-we-love,91000
Hack-with-Github,Awesome-Hacking,https://github.com/topics/awesome/Hack-with-Github/Awesome-Hacking,89100
jaywcjlove,awesome-mac,https://github.com/topics/awesome/jaywcjlove/awesome-mac,79800
DopplerHQ,awesome-interview-questions,https://github.com/topics/awesome/DopplerHQ/awesome-interview-questions,73300
MunGell,awesome-for-beginners,https://github.com/topics/awesome/MunGell/awesome-for-beginners,71700
enaqx,awesome-react,https://github.com/topics/awesome/enaqx/awesome-react,66900
fffaraz,awesome-cpp,https://github.com/topics/awesome/fffaraz/awesome-cpp,61900
binhnguyennus,awesome-scalability,https://github.com/topics/awesome/binhnguyennus/awesome-scalability,60500
sindresorhus,awesome-nodejs,https://github.com/topics/awesome/sindresorhus/awesome-nodejs,59600
prakhar1989,awesome-courses,https://github.com/topics/awesome/prakhar1989/awesome-courses,59100
Solido,awesome-flutter,https://github.com/topics/awesome/Solido/awesome-flutter,54800
wasabeef,awesome-android-ui,https://github.com/topics/awesome/wasabeef/awesome-android-ui,51600
tiimgreen,github-cheat-sheet,https://github.com/topics/awesome/tiimgreen/github-cheat-sheet,49600
rust-unofficial,awesome-rust,https://github.com/topics/awesome/rust-unofficial/awesome-rust,48800
