Owner,Repository Name,Repository Link,Star Count
ByteByteGoHq,system-design-101,https://github.com/topics/aws/ByteByteGoHq/system-design-101,68500
bregman-arie,devops-exercises,https://github.com/topics/aws/bregman-arie/devops-exercises,67900
localstack,localstack,https://github.com/topics/aws/localstack/localstack,57800
serverless,serverless,https://github.com/topics/aws/serverless/serverless,46600
donnemartin,data-science-ipython-notebooks,https://github.com/topics/aws/donnemartin/data-science-ipython-notebooks,27900
pulumi,pulumi,https://github.com/topics/aws/pulumi/pulumi,22400
danny-avila,LibreChat,https://github.com/topics/aws/danny-avila/LibreChat,22200
getsops,sops,https://github.com/topics/aws/getsops/sops,17800
kubernetes-sigs,kubespray,https://github.com/topics/aws/kubernetes-sigs/kubespray,16500
aws,aws-cli,https://github.com/topics/aws/aws/aws-cli,15800
ramitsurana,awesome-kubernetes,https://github.com/topics/aws/ramitsurana/awesome-kubernetes,15200
caprover,caprover,https://github.com/topics/aws/caprover/caprover,13700
milanm,DevOps-Roadmap,https://github.com/topics/aws/milanm/DevOps-Roadmap,13600
GoogleCloudPlatform,terraformer,https://github.com/topics/aws/GoogleCloudPlatform/terraformer,13200
donnemartin,awesome-aws,https://github.com/topics/aws/donnemartin/awesome-aws,12700
aws,aws-cdk,https://github.com/topics/aws/aws/aws-cdk,11900
infracost,infracost,https://github.com/topics/aws/infracost/infracost,11300
prowler-cloud,prowler,https://github.com/topics/aws/prowler-cloud/prowler,11200
apereo,cas,https://github.com/topics/aws/apereo/cas,11000
aws,chalice,https://github.com/topics/aws/aws/chalice,10800
