Owner,Repository Name,Repository Link,Star Count
microsoft,generative-ai-for-beginners,https://github.com/topics/azure/microsoft/generative-ai-for-beginners,71100
bregman-arie,devops-exercises,https://github.com/topics/azure/bregman-arie/devops-exercises,67900
pulumi,pulumi,https://github.com/topics/azure/pulumi/pulumi,22400
danny-avila,LibreChat,https://github.com/topics/azure/danny-avila/LibreChat,22200
getsops,sops,https://github.com/topics/azure/getsops/sops,17800
ramitsurana,awesome-kubernetes,https://github.com/topics/azure/ramitsurana/awesome-kubernetes,15200
Azure,azure-quickstart-templates,https://github.com/topics/azure/Azure/azure-quickstart-templates,14200
caprover,caprover,https://github.com/topics/azure/caprover/caprover,13700
milanm,DevOps-Roadmap,https://github.com/topics/azure/milanm/DevOps-Roadmap,13600
infracost,infracost,https://github.com/topics/azure/infracost/infracost,11300
prowler-cloud,prowler,https://github.com/topics/azure/prowler-cloud/prowler,11200
budtmo,docker-android,https://github.com/topics/azure/budtmo/docker-android,10400
google,go-cloud,https://github.com/topics/azure/google/go-cloud,9600
microsoft,computervision-recipes,https://github.com/topics/azure/microsoft/computervision-recipes,9600
Netflix,metaflow,https://github.com/topics/azure/Netflix/metaflow,8500
YSGStudyHards,DotNetGuide,https://github.com/topics/azure/YSGStudyHards/DotNetGuide,7700
microsoft,azuredatastudio,https://github.com/topics/azure/microsoft/azuredatastudio,7700
midwayjs,midway,https://github.com/topics/azure/midwayjs/midway,7500
bridgecrewio,checkov,https://github.com/topics/azure/bridgecrewio/checkov,7400
thangchung,clean-code-dotnet,https://github.com/topics/azure/thangchung/clean-code-dotnet,7300
