Owner,Repository Name,Repository Link,Star Count
babel,babel,https://github.com/topics/babel/babel/babel,43400
swc-project,swc,https://github.com/topics/babel/swc-project/swc,31700
nylas,nylas-mail,https://github.com/topics/babel/nylas/nylas-mail,24800
electron-react-boilerplate,electron-react-boilerplate,https://github.com/topics/babel/electron-react-boilerplate/electron-react-boilerplate,23500
SimulatedGREG,electron-vue,https://github.com/topics/babel/SimulatedGREG/electron-vue,15500
grab,front-end-guide,https://github.com/topics/babel/grab/front-end-guide,15200
jamiebuilds,babel-handbook,https://github.com/topics/babel/jamiebuilds/babel-handbook,12100
developit,htm,https://github.com/topics/babel/developit/htm,8800
grommet,grommet,https://github.com/topics/babel/grommet/grommet,8400
ast-grep,ast-grep,https://github.com/topics/babel/ast-grep/ast-grep,8000
ben-rogerson,twin.macro,https://github.com/topics/babel/ben-rogerson/twin.macro,8000
fkling,astexplorer,https://github.com/topics/babel/fkling/astexplorer,6300
angular-fullstack,generator-angular-fullstack,https://github.com/topics/babel/angular-fullstack/generator-angular-fullstack,6100
documentationjs,documentation,https://github.com/topics/babel/documentationjs/documentation,5800
thx,gogocode,https://github.com/topics/babel/thx/gogocode,5800
insin,nwb,https://github.com/topics/babel/insin/nwb,5600
thinkjs,thinkjs,https://github.com/topics/babel/thinkjs/thinkjs,5300
egoist,poi,https://github.com/topics/babel/egoist/poi,5200
duxianwei520,react,https://github.com/topics/babel/duxianwei520/react,5100
babel,babel-loader,https://github.com/topics/babel/babel/babel-loader,4800
