Owner,Repository Name,Repository Link,Star Count
jlevy,the-art-of-command-line,https://github.com/topics/bash/jlevy/the-art-of-command-line,155000
nvm-sh,nvm,https://github.com/topics/bash/nvm-sh/nvm,82400
junegunn,fzf,https://github.com/topics/bash/junegunn/fzf,68100
starship,starship,https://github.com/topics/bash/starship/starship,47100
google,zx,https://github.com/topics/bash/google/zx,43600
LeCoupa,awesome-cheatsheets,https://github.com/topics/bash/LeCoupa/awesome-cheatsheets,41700
acmesh-official,acme.sh,https://github.com/topics/bash/acmesh-official/acme.sh,41200
koalaman,shellcheck,https://github.com/topics/bash/koalaman/shellcheck,37000
dylanaraps,pure-bash-bible,https://github.com/topics/bash/dylanaraps/pure-bash-bible,36800
alebcay,awesome-shell,https://github.com/topics/bash/alebcay/awesome-shell,33800
jaywcjlove,linux-command,https://github.com/topics/bash/jaywcjlove/linux-command,32800
mathiasbynens,dotfiles,https://github.com/topics/bash/mathiasbynens/dotfiles,30600
kingToolbox,WindTerm,https://github.com/topics/bash/kingToolbox/WindTerm,25000
ajeetdsouza,zoxide,https://github.com/topics/bash/ajeetdsouza/zoxide,25000
withfig,autocomplete,https://github.com/topics/bash/withfig/autocomplete,24700
asdf-vm,asdf,https://github.com/topics/bash/asdf-vm/asdf,22900
atuinsh,atuin,https://github.com/topics/bash/atuinsh/atuin,22600
dylanaraps,neofetch,https://github.com/topics/bash/dylanaraps/neofetch,22500
warpdotdev,Warp,https://github.com/topics/bash/warpdotdev/Warp,22200
Nyr,openvpn-install,https://github.com/topics/bash/Nyr/openvpn-install,19600
