Owner,Repository Name,Repository Link,Star Count
bitcoin,bitcoin,https://github.com/topics/bitcoin/bitcoin/bitcoin,82100
freqtrade,freqtrade,https://github.com/topics/bitcoin/freqtrade/freqtrade,36500
ccxt,ccxt,https://github.com/topics/bitcoin/ccxt/ccxt,34700
bitcoinbook,bitcoinbook,https://github.com/topics/bitcoin/bitcoinbook/bitcoinbook,24100
HelloZeroNet,ZeroNet,https://github.com/topics/bitcoin/HelloZeroNet/ZeroNet,18500
solana-labs,solana,https://github.com/topics/bitcoin/solana-labs/solana,13900
bbfamily,abu,https://github.com/topics/bitcoin/bbfamily/abu,12900
hummingbot,hummingbot,https://github.com/topics/bitcoin/hummingbot/hummingbot,11100
askmike,gekko,https://github.com/topics/bitcoin/askmike/gekko,10100
UFund-Me,Qbot,https://github.com/topics/bitcoin/UFund-Me/Qbot,9900
getumbrel,umbrel,https://github.com/topics/bitcoin/getumbrel/umbrel,8400
dvf,blockchain,https://github.com/topics/bitcoin/dvf/blockchain,7900
lightningnetwork,lnd,https://github.com/topics/bitcoin/lightningnetwork/lnd,7800
spesmilo,electrum,https://github.com/topics/bitcoin/spesmilo/electrum,7700
lbryio,lbry-sdk,https://github.com/topics/bitcoin/lbryio/lbry-sdk,7200
yeasy,blockchain_guide,https://github.com/topics/bitcoin/yeasy/blockchain_guide,6900
btcpayserver,btcpayserver,https://github.com/topics/bitcoin/btcpayserver/btcpayserver,6600
btcsuite,btcd,https://github.com/topics/bitcoin/btcsuite/btcd,6400
jesse-ai,jesse,https://github.com/topics/bitcoin/jesse-ai/jesse,6100
bitcoinjs,bitcoinjs-lib,https://github.com/topics/bitcoin/bitcoinjs/bitcoinjs-lib,5800
