Owner,Repository Name,Repository Link,Star Count
ccxt,ccxt,https://github.com/topics/bot/ccxt/ccxt,34700
feder-cr,Jobs_Applier_AI_Agent_AIHawk,https://github.com/topics/bot/feder-cr/Jobs_Applier_AI_Agent_AIHawk,27200
python-telegram-bot,python-telegram-bot,https://github.com/topics/bot/python-telegram-bot/python-telegram-bot,27000
discordjs,discord.js,https://github.com/topics/bot/discordjs/discord.js,25700
wechaty,wechaty,https://github.com/topics/bot/wechaty/wechaty,21000
RasaHQ,rasa,https://github.com/topics/bot/RasaHQ/rasa,19500
InstaPy,InstaPy,https://github.com/topics/bot/InstaPy/InstaPy,17100
hubotio,hubot,https://github.com/topics/bot/hubotio/hubot,16700
pedroslopez,whatsapp-web.js,https://github.com/topics/bot/pedroslopez/whatsapp-web.js,16200
leon-ai,leon,https://github.com/topics/bot/leon-ai/leon,15900
Rapptz,discord.py,https://github.com/topics/bot/Rapptz/discord.py,15100
tgbot-collection,YYeTsBot,https://github.com/topics/bot/tgbot-collection/YYeTsBot,15000
gunthercox,ChatterBot,https://github.com/topics/bot/gunthercox/ChatterBot,14200
lss233,chatgpt-mirai-qq-bot,https://github.com/topics/bot/lss233/chatgpt-mirai-qq-bot,14100
howdyai,botkit,https://github.com/topics/bot/howdyai/botkit,11500
hummingbot,hummingbot,https://github.com/topics/bot/hummingbot/hummingbot,11100
Mrs4s,go-cqhttp,https://github.com/topics/bot/Mrs4s/go-cqhttp,10500
sfyc23,EverydayWechat,https://github.com/topics/bot/sfyc23/EverydayWechat,10100
yagop,node-telegram-bot-api,https://github.com/topics/bot/yagop/node-telegram-bot-api,8600
telegraf,telegraf,https://github.com/topics/bot/telegraf/telegraf,8500
