Owner,Repository Name,Repository Link,Star Count
Genymobile,scrcpy,https://github.com/topics/c/Genymobile/scrcpy,118000
neovim,neovim,https://github.com/topics/c/neovim/neovim,86300
obsproject,obs-studio,https://github.com/topics/c/obsproject/obs-studio,62300
fffaraz,awesome-cpp,https://github.com/topics/c/fffaraz/awesome-cpp,61900
git,git,https://github.com/topics/c/git/git,53600
FFmpeg,FFmpeg,https://github.com/topics/c/FFmpeg/FFmpeg,47900
serhii-londar,open-source-mac-os-apps,https://github.com/topics/c/serhii-londar/open-source-mac-os-apps,42800
vim,vim,https://github.com/topics/c/vim/vim,37500
curl,curl,https://github.com/topics/c/curl/curl,36900
huihut,interview,https://github.com/topics/c/huihut/interview,35400
mpv-player,mpv,https://github.com/topics/c/mpv-player/mpv,29700
ossrs,srs,https://github.com/topics/c/ossrs/srs,26400
kovidgoyal,kitty,https://github.com/topics/c/kovidgoyal/kitty,26400
ggreer,the_silver_searcher,https://github.com/topics/c/ggreer/the_silver_searcher,26400
raysan5,raylib,https://github.com/topics/c/raysan5/raylib,25000
microsoft,vcpkg,https://github.com/topics/c/microsoft/vcpkg,24000
google,flatbuffers,https://github.com/topics/c/google/flatbuffers,23800
ruby,ruby,https://github.com/topics/c/ruby/ruby,22400
hashcat,hashcat,https://github.com/topics/c/hashcat/hashcat,22000
forthespada,CS-Books,https://github.com/topics/c/forthespada/CS-Books,21900
