Owner,Repository Name,Repository Link,Star Count
jaywcjlove,linux-command,https://github.com/topics/chrome-extension/jaywcjlove/linux-command,32800
refined-github,refined-github,https://github.com/topics/chrome-extension/refined-github/refined-github,25800
openai-translator,openai-translator,https://github.com/topics/chrome-extension/openai-translator/openai-translator,24200
darkreader,darkreader,https://github.com/topics/chrome-extension/darkreader/darkreader,20300
dailydotdev,daily,https://github.com/topics/chrome-extension/dailydotdev/daily,19200
gildas-lormeau,SingleFile,https://github.com/topics/chrome-extension/gildas-lormeau/SingleFile,16900
checkly,headless-recorder,https://github.com/topics/chrome-extension/checkly/headless-recorder,15100
immersive-translate,immersive-translate,https://github.com/topics/chrome-extension/immersive-translate/immersive-translate,14700
AutomaApp,automa,https://github.com/topics/chrome-extension/AutomaApp/automa,14700
unbug,codelf,https://github.com/topics/chrome-extension/unbug/codelf,14100
alyssaxuu,screenity,https://github.com/topics/chrome-extension/alyssaxuu/screenity,13600
wong2,chatgpt-google-extension,https://github.com/topics/chrome-extension/wong2/chatgpt-google-extension,13200
Anarios,return-youtube-dislike,https://github.com/topics/chrome-extension/Anarios/return-youtube-dislike,12900
crimx,ext-saladict,https://github.com/topics/chrome-extension/crimx/ext-saladict,12300
listen1,listen1_chrome_extension,https://github.com/topics/chrome-extension/listen1/listen1_chrome_extension,11600
xifangczy,cat-catch,https://github.com/topics/chrome-extension/xifangczy/cat-catch,11500
PlasmoHQ,plasmo,https://github.com/topics/chrome-extension/PlasmoHQ/plasmo,11200
ajayyy,SponsorBlock,https://github.com/topics/chrome-extension/ajayyy/SponsorBlock,10900
josStorer,chatGPTBox,https://github.com/topics/chrome-extension/josStorer/chatGPTBox,10400
chathub-dev,chathub,https://github.com/topics/chrome-extension/chathub-dev/chathub,10200
