Owner,Repository Name,Repository Link,Star Count
electron,electron,https://github.com/topics/chrome/electron/electron,116000
puppeteer,puppeteer,https://github.com/topics/chrome/puppeteer/puppeteer,89800
microsoft,playwright,https://github.com/topics/chrome/microsoft/playwright,69500
FiloSottile,mkcert,https://github.com/topics/chrome/FiloSottile/mkcert,52300
jaywcjlove,linux-command,https://github.com/topics/chrome/jaywcjlove/linux-command,32800
feder-cr,Jobs_Applier_AI_Agent_AIHawk,https://github.com/topics/chrome/feder-cr/Jobs_Applier_AI_Agent_AIHawk,27200
ovity,octotree,https://github.com/topics/chrome/ovity/octotree,23000
segment-boneyard,nightmare,https://github.com/topics/chrome/segment-boneyard/nightmare,19600
gildas-lormeau,SingleFile,https://github.com/topics/chrome/gildas-lormeau/SingleFile,16900
GoogleChrome,chrome-extensions-samples,https://github.com/topics/chrome/GoogleChrome/chrome-extensions-samples,16000
checkly,headless-recorder,https://github.com/topics/chrome/checkly/headless-recorder,15100
google,WebFundamentals,https://github.com/topics/chrome/google/WebFundamentals,13900
schickling,chromeless,https://github.com/topics/chrome/schickling/chromeless,13200
MetaMask,metamask-extension,https://github.com/topics/chrome/MetaMask/metamask-extension,12400
crimx,ext-saladict,https://github.com/topics/chrome/crimx/ext-saladict,12300
casesandberg,react-color,https://github.com/topics/chrome/casesandberg/react-color,12100
moonD4rk,HackBrowserData,https://github.com/topics/chrome/moonD4rk/HackBrowserData,12000
xifangczy,cat-catch,https://github.com/topics/chrome/xifangczy/cat-catch,11500
chromedp,chromedp,https://github.com/topics/chrome/chromedp/chromedp,11400
ajayyy,SponsorBlock,https://github.com/topics/chrome/ajayyy/SponsorBlock,10900
