Owner,Repository Name,Repository Link,Star Count
ohmyzsh,ohmyzsh,https://github.com/topics/cli/ohmyzsh/ohmyzsh,176000
junegunn,fzf,https://github.com/topics/cli/junegunn/fzf,68100
sherlock-project,sherlock,https://github.com/topics/cli/sherlock-project/sherlock,62500
n8n-io,n8n,https://github.com/topics/cli/n8n-io/n8n,61900
jesseduffield,lazygit,https://github.com/topics/cli/jesseduffield/lazygit,56800
sharkdp,bat,https://github.com/topics/cli/sharkdp/bat,51200
BurntSushi,ripgrep,https://github.com/topics/cli/BurntSushi/ripgrep,50400
wagoodman,dive,https://github.com/topics/cli/wagoodman/dive,49600
All-Hands-AI,OpenHands,https://github.com/topics/cli/All-Hands-AI/OpenHands,47100
google,zx,https://github.com/topics/cli/google/zx,43600
spf13,cobra,https://github.com/topics/cli/spf13/cobra,39400
chubin,cheat.sh,https://github.com/topics/cli/chubin/cheat.sh,39000
cli,cli,https://github.com/topics/cli/cli/cli,38300
ultralytics,ultralytics,https://github.com/topics/cli/ultralytics/ultralytics,36800
sharkdp,fd,https://github.com/topics/cli/sharkdp/fd,35600
httpie,cli,https://github.com/topics/cli/httpie/cli,34800
alebcay,awesome-shell,https://github.com/topics/cli/alebcay/awesome-shell,33800
ibraheemdev,modern-unix,https://github.com/topics/cli/ibraheemdev/modern-unix,31600
charmbracelet,bubbletea,https://github.com/topics/cli/charmbracelet/bubbletea,29600
tqdm,tqdm,https://github.com/topics/cli/tqdm/tqdm,29300
