Owner,Repository Name,Repository Link,Star Count
metabase,metabase,https://github.com/topics/clojure/metabase/metabase,40900
penpot,penpot,https://github.com/topics/clojure/penpot/penpot,36500
logseq,logseq,https://github.com/topics/clojure/logseq/logseq,35000
deeplearning4j,deeplearning4j,https://github.com/topics/clojure/deeplearning4j/deeplearning4j,13800
LightTable,LightTable,https://github.com/topics/clojure/LightTable/LightTable,11700
kanaka,mal,https://github.com/topics/clojure/kanaka/mal,10200
lk-geimfari,awesomo,https://github.com/topics/clojure/lk-geimfari/awesomo,9500
tonsky,datascript,https://github.com/topics/clojure/tonsky/datascript,5500
reagent-project,reagent,https://github.com/topics/clojure/reagent-project/reagent,4800
defold,defold,https://github.com/topics/clojure/defold/defold,4700
izhangzhihao,intellij-rainbow-brackets,https://github.com/topics/clojure/izhangzhihao/intellij-rainbow-brackets,4500
riemann,riemann,https://github.com/topics/clojure/riemann/riemann,4200
babashka,babashka,https://github.com/topics/clojure/babashka/babashka,4200
weavejester,compojure,https://github.com/topics/clojure/weavejester/compojure,4100
bbatsov,clojure-style-guide,https://github.com/topics/clojure/bbatsov/clojure-style-guide,4000
status-im,status-mobile,https://github.com/topics/clojure/status-im/status-mobile,3900
ring-clojure,ring,https://github.com/topics/clojure/ring-clojure/ring,3800
clojure-emacs,cider,https://github.com/topics/clojure/clojure-emacs/cider,3600
viebel,klipse,https://github.com/topics/clojure/viebel/klipse,3100
tallesl,Rich-Hickey-fanclub,https://github.com/topics/clojure/tallesl/Rich-Hickey-fanclub,3100
