Owner,Repository Name,Repository Link,Star Count
ovity,octotree,https://github.com/topics/code-review/ovity/octotree,23000
gitpod-io,gitpod,https://github.com/topics/code-review/gitpod-io/gitpod,13100
reviewdog,reviewdog,https://github.com/topics/code-review/reviewdog/reviewdog,8200
qodo-ai,pr-agent,https://github.com/topics/code-review/qodo-ai/pr-agent,6900
danger,danger,https://github.com/topics/code-review/danger/danger,5500
danger,danger-js,https://github.com/topics/code-review/danger/danger-js,5300
joho,awesome-code-review,https://github.com/topics/code-review/joho/awesome-code-review,4500
ajinabraham,nodejsscan,https://github.com/topics/code-review/ajinabraham/nodejsscan,2400
microsoft,vscode-pull-request-github,https://github.com/topics/code-review/microsoft/vscode-pull-request-github,2300
crev-dev,cargo-crev,https://github.com/topics/code-review/crev-dev/cargo-crev,2200
mbj,mutant,https://github.com/topics/code-review/mbj/mutant,2000
houndci,hound,https://github.com/topics/code-review/houndci/hound,2000
mattzcarey,code-review-gpt,https://github.com/topics/code-review/mattzcarey/code-review-gpt,1800
Tencent,CodeAnalysis,https://github.com/topics/code-review/Tencent/CodeAnalysis,1700
coderabbitai,ai-pr-reviewer,https://github.com/topics/code-review/coderabbitai/ai-pr-reviewer,1600
reviewboard,reviewboard,https://github.com/topics/code-review/reviewboard/reviewboard,1600
ryanmcdermott,code-review-tips,https://github.com/topics/code-review/ryanmcdermott/code-review-tips,1500
bit4woo,python_sec,https://github.com/topics/code-review/bit4woo/python_sec,1300
code-review-checklists,java-concurrency,https://github.com/topics/code-review/code-review-checklists/java-concurrency,1300
jiangsir404,Audit-Learning,https://github.com/topics/code-review/jiangsir404/Audit-Learning,976000
