Owner,Repository Name,Repository Link,Star Count
vercel,next.js,https://github.com/topics/compiler/vercel/next.js,130000
rust-lang,rust,https://github.com/topics/compiler/rust-lang/rust,101000
sveltejs,svelte,https://github.com/topics/compiler/sveltejs/svelte,81500
webpack,webpack,https://github.com/topics/compiler/webpack/webpack,65000
FuelLabs,sway,https://github.com/topics/compiler/FuelLabs/sway,62500
gatsbyjs,gatsby,https://github.com/topics/compiler/gatsbyjs/gatsby,55700
JetBrains,kotlin,https://github.com/topics/compiler/JetBrains/kotlin,50000
parcel-bundler,parcel,https://github.com/topics/compiler/parcel-bundler/parcel,43700
babel,babel,https://github.com/topics/compiler/babel/babel,43400
evanw,esbuild,https://github.com/topics/compiler/evanw/esbuild,38600
typst,typst,https://github.com/topics/compiler/typst/typst,37700
ziglang,zig,https://github.com/topics/compiler/ziglang/zig,37500
vlang,v,https://github.com/topics/compiler/vlang/v,36100
markedjs,marked,https://github.com/topics/compiler/markedjs/marked,33900
carbon-language,carbon-lang,https://github.com/topics/compiler/carbon-language/carbon-lang,32600
swc-project,swc,https://github.com/topics/compiler/swc-project/swc,31700
vercel,pkg,https://github.com/topics/compiler/vercel/pkg,24400
v8,v8,https://github.com/topics/compiler/v8/v8,23800
oracle,graal,https://github.com/topics/compiler/oracle/graal,20600
RustPython,RustPython,https://github.com/topics/compiler/RustPython/RustPython,19600
