Owner,Repository Name,Repository Link,Star Count
localstack,localstack,https://github.com/topics/continuous-integration/localstack/localstack,57800
harness,harness,https://github.com/topics/continuous-integration/harness/harness,32500
jenkinsci,jenkins,https://github.com/topics/continuous-integration/jenkinsci/jenkins,23600
auchenberg,volkswagen,https://github.com/topics/continuous-integration/auchenberg/volkswagen,15000
milanm,DevOps-Roadmap,https://github.com/topics/continuous-integration/milanm/DevOps-Roadmap,13600
dagger,dagger,https://github.com/topics/continuous-integration/dagger/dagger,12000
openshift,origin,https://github.com/topics/continuous-integration/openshift/origin,8500
concourse,concourse,https://github.com/topics/continuous-integration/concourse/concourse,7500
gocd,gocd,https://github.com/topics/continuous-integration/gocd/gocd,7200
Flagsmith,flagsmith,https://github.com/topics/continuous-integration/Flagsmith/flagsmith,5300
buildbot,buildbot,https://github.com/topics/continuous-integration/buildbot/buildbot,5300
gaia-pipeline,gaia,https://github.com/topics/continuous-integration/gaia-pipeline/gaia,5200
ovh,cds,https://github.com/topics/continuous-integration/ovh/cds,4600
TheLartians,ModernCppStarter,https://github.com/topics/continuous-integration/TheLartians/ModernCppStarter,4600
jenkins-x,jx,https://github.com/topics/continuous-integration/jenkins-x/jx,4600
Strider-CD,strider,https://github.com/topics/continuous-integration/Strider-CD/strider,4600
JamesIves,github-pages-deploy-action,https://github.com/topics/continuous-integration/JamesIves/github-pages-deploy-action,4400
werf,werf,https://github.com/topics/continuous-integration/werf/werf,4300
SamKirkland,FTP-Deploy-Action,https://github.com/topics/continuous-integration/SamKirkland/FTP-Deploy-Action,4100
iterative,cml,https://github.com/topics/continuous-integration/iterative/cml,4100
