Owner,Repository Name,Repository Link,Star Count
practical-tutorials,project-based-learning,https://github.com/topics/cpp/practical-tutorials/project-based-learning,218000
CyC2018,CS-Notes,https://github.com/topics/cpp/CyC2018/CS-Notes,179000
fffaraz,awesome-cpp,https://github.com/topics/cpp/fffaraz/awesome-cpp,61900
azl397985856,leetcode,https://github.com/topics/cpp/azl397985856/leetcode,55000
youngyangyang04,leetcode-master,https://github.com/topics/cpp/youngyangyang04/leetcode-master,54000
WerWolv,ImHex,https://github.com/topics/cpp/WerWolv/ImHex,47100
Light-City,CPlusPlusThings,https://github.com/topics/cpp/Light-City/CPlusPlusThings,40200
ClickHouse,ClickHouse,https://github.com/topics/cpp/ClickHouse/ClickHouse,39100
huihut,interview,https://github.com/topics/cpp/huihut/interview,35400
doocs,leetcode,https://github.com/topics/cpp/doocs/leetcode,33000
carbon-language,carbon-lang,https://github.com/topics/cpp/carbon-language/carbon-lang,32600
CMU-Perceptual-Computing-Lab,openpose,https://github.com/topics/cpp/CMU-Perceptual-Computing-Lab/openpose,31900
TheAlgorithms,C-Plus-Plus,https://github.com/topics/cpp/TheAlgorithms/C-Plus-Plus,31300
aseprite,aseprite,https://github.com/topics/cpp/aseprite/aseprite,30800
microsoft,calculator,https://github.com/topics/cpp/microsoft/calculator,30100
dragonflydb,dragonfly,https://github.com/topics/cpp/dragonflydb/dragonfly,27200
gabime,spdlog,https://github.com/topics/cpp/gabime/spdlog,25300
changkun,modern-cpp-tutorial,https://github.com/topics/cpp/changkun/modern-cpp-tutorial,24500
microsoft,vcpkg,https://github.com/topics/cpp/microsoft/vcpkg,24000
ethereum,solidity,https://github.com/topics/cpp/ethereum/solidity,23900
