Owner,Repository Name,Repository Link,Star Count
bitcoin,bitcoin,https://github.com/topics/cryptocurrency/bitcoin/bitcoin,82100
freqtrade,freqtrade,https://github.com/topics/cryptocurrency/freqtrade/freqtrade,36500
OpenBB-finance,OpenBB,https://github.com/topics/cryptocurrency/OpenBB-finance/OpenBB,36200
ccxt,ccxt,https://github.com/topics/cryptocurrency/ccxt/ccxt,34700
dogecoin,dogecoin,https://github.com/topics/cryptocurrency/dogecoin/dogecoin,14900
hummingbot,hummingbot,https://github.com/topics/cryptocurrency/hummingbot/hummingbot,11100
monero-project,monero,https://github.com/topics/cryptocurrency/monero-project/monero,9300
xmrig,xmrig,https://github.com/topics/cryptocurrency/xmrig/xmrig,9100
dvf,blockchain,https://github.com/topics/cryptocurrency/dvf/blockchain,7900
lightningnetwork,lnd,https://github.com/topics/cryptocurrency/lightningnetwork/lnd,7800
kroma-network,tachyon,https://github.com/topics/cryptocurrency/kroma-network/tachyon,7800
StockSharp,StockSharp,https://github.com/topics/cryptocurrency/StockSharp/StockSharp,7700
firmai,financial-machine-learning,https://github.com/topics/cryptocurrency/firmai/financial-machine-learning,7600
lbryio,lbry-sdk,https://github.com/topics/cryptocurrency/lbryio/lbry-sdk,7200
cosmos,cosmos-sdk,https://github.com/topics/cryptocurrency/cosmos/cosmos-sdk,6500
sammchardy,python-binance,https://github.com/topics/cryptocurrency/sammchardy/python-binance,6400
jesse-ai,jesse,https://github.com/topics/cryptocurrency/jesse-ai/jesse,6100
tendermint,tendermint,https://github.com/topics/cryptocurrency/tendermint/tendermint,5800
chrisleekr,binance-trading-bot,https://github.com/topics/cryptocurrency/chrisleekr/binance-trading-bot,5200
sea-protocol,seaprotocol,https://github.com/topics/cryptocurrency/sea-protocol/seaprotocol,5100
