Indian Medicinal Plant,Plant Part,IMPPAT Phytochemical Identifier,Phytochemical Name,References,Structural Formula,Compound URL
Cheilocostus speciosus,leaf,IMPHY002539,beta-Amyrin palmitate,ISBN:9788185042114,CCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2CC(C)(C)CC1)C)C)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY002539
Cheilocostus speciosus,leaf,IMPHY007327,Palmitic acid,ISBN:9788172362140,CCCCCCCCCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY007327
Cheilocostus speciosus,leaf,IMPHY010217,Tripentylphosphine oxide,ISBN:9788185042084,CCCCCP(=O)(CCCCC)CCCCC,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY010217
Cheilocostus speciosus,leaf,IMPHY012473,Lupeol,ISBN:9788172362140,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY012473
Cheilocostus speciosus,plant cells/culture,IMPHY003681,Diosgenin,ISBN:9788172362133,C[C@@H]1CC[C@@]2(OC1)O[C@@H]1[C@H]([C@@H]2C)[C@@]2([C@@H](C1)[C@@H]1CC=C3[C@]([C@H]1CC2)(C)CC[C@@H](C3)O)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY003681
Cheilocostus speciosus,plant cells/culture,IMPHY011857,Lanosterol,ISBN:9788172362133,CC(=CCC[C@H]([C@H]1CC[C@@]2([C@]1(C)CCC1=C2CC[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O)C)C)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY011857
Cheilocostus speciosus,plant cells/culture,IMPHY012273,Tigogenin,ISBN:9788172362133,C[C@@H]1CC[C@@]2(OC1)O[C@@H]1[C@H]([C@@H]2C)[C@@]2([C@@H](C1)[C@@H]1CC[C@@H]3[C@]([C@H]1CC2)(C)CC[C@@H](C3)O)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY012273
Cheilocostus speciosus,plant cells/culture,IMPHY014842,Stigmasterol,ISBN:9788172362133,CC[C@@H](C(C)C)/C=C/[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY014842
Cheilocostus speciosus,rhizome,IMPHY000599,Octacosanoic acid,ISBN:9788171360536,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY000599
Cheilocostus speciosus,rhizome,IMPHY000601,Triacontanoic acid,"ISBN:9770972795006, ISBN:9788172362133",CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY000601
Cheilocostus speciosus,rhizome,IMPHY001246,Carvacrol,ISBN:9788172362133,CC(c1ccc(c(c1)O)C)C,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY001246
Cheilocostus speciosus,rhizome,IMPHY001995,Dioscin,"ISBN:9780387706375, ISBN:9788172362133",OC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C(=CC[C@@H]4[C@@H]3CC[C@]3([C@H]4C[C@H]4[C@@H]3[C@H](C)[C@]3(O4)CC[C@H](CO3)C)C)C2)C)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,https://cb.imsc.res.in/imppat/phytochemical-detailedpage/IMPHY001995
