Year Placed,Total Graduating students,Students placed,Median salary per annum(Rs.),Higher Studies Student,College,CollegeID,Program,Duration(Years)
2021,771,618,1000000,74,National Institute of Technology Warangal,IR-E-U-0025,UG,4
2022,869,639,1592000,62,National Institute of Technology Warangal,IR-E-U-0025,UG,4
2023,1064,872,1500000,79,National Institute of Technology Warangal,IR-E-U-0025,UG,4
2021,526,178,800000,51,National Institute of Technology Warangal,IR-E-U-0025,PG,2
2022,542,336,1175000,45,National Institute of Technology Warangal,IR-E-U-0025,PG,2
2023,542,452,1000000,43,National Institute of Technology Warangal,IR-E-U-0025,PG,2
2021,225,98,600000,32,National Institute of Technology Puducherry,IR-E-U-0621,UG,4
2022,238,166,755000,30,National Institute of Technology Puducherry,IR-E-U-0621,UG,4
2023,243,155,980000,20,National Institute of Technology Puducherry,IR-E-U-0621,UG,4
2021,31,9,650000,8,National Institute of Technology Puducherry,IR-E-U-0621,PG,2
2022,21,16,1000000,3,National Institute of Technology Puducherry,IR-E-U-0621,PG,2
2023,21,15,1055000,1,National Institute of Technology Puducherry,IR-E-U-0621,PG,2
2021,425,338,1500000,30,Indian Institute of Technology Kharagpur,IR-E-U-0573,UG,4
2022,450,377,1875000,41,Indian Institute of Technology Kharagpur,IR-E-U-0573,UG,4
2023,580,460,2400000,40,Indian Institute of Technology Kharagpur,IR-E-U-0573,UG,4
2021,1001,386,1135000,370,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG,2
2022,976,490,1350000,193,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG,2
2023,1034,555,1250000,182,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG,2
2021,8,0,0,3,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG,3
2022,11,3,1800000,1,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG,3
2023,11,7,1800000,3,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG,3
2021,115,84,1000000,13,Indian Institute of Technology Bhilai,IR-E-U-0946,UG,4
2022,117,101,1400000,1,Indian Institute of Technology Bhilai,IR-E-U-0946,UG,4
2023,126,101,1500000,4,Indian Institute of Technology Bhilai,IR-E-U-0946,UG,4
2021,17,11,1100000,5,Indian Institute of Technology Bhilai,IR-E-U-0946,PG,2
2022,11,10,950000,1,Indian Institute of Technology Bhilai,IR-E-U-0946,PG,2
2023,24,21,1000000,3,Indian Institute of Technology Bhilai,IR-E-U-0946,PG,2
2021,768,624,1672000,144,Indian Institute of Technology Roorkee,IR-E-U-0560,UG,4
2022,824,737,1700000,87,Indian Institute of Technology Roorkee,IR-E-U-0560,UG,4
2023,911,733,1969000,178,Indian Institute of Technology Roorkee,IR-E-U-0560,UG,4
2021,600,140,710000,315,Indian Institute of Technology Roorkee,IR-E-U-0560,PG,2
2022,595,231,1270000,364,Indian Institute of Technology Roorkee,IR-E-U-0560,PG,2
2023,558,274,1200000,284,Indian Institute of Technology Roorkee,IR-E-U-0560,PG,2
2021,88,81,2055000,7,Indian Institute of Technology Roorkee,IR-E-U-0560,PG-Integrated,5
2022,123,95,2254000,28,Indian Institute of Technology Roorkee,IR-E-U-0560,PG-Integrated,5
2023,114,86,2320000,28,Indian Institute of Technology Roorkee,IR-E-U-0560,PG-Integrated,5
2021,1166,1084,480000,52,Kalasalingam Academy of Research and Education,IR-E-U-0458,UG,4
2022,1220,1147,550000,55,Kalasalingam Academy of Research and Education,IR-E-U-0458,UG,4
2023,1278,1219,675000,50,Kalasalingam Academy of Research and Education,IR-E-U-0458,UG,4
2021,130,108,578000,2,Kalasalingam Academy of Research and Education,IR-E-U-0458,PG,2
2022,129,109,684000,5,Kalasalingam Academy of Research and Education,IR-E-U-0458,PG,2
2021,490,335,720000,91,Indian Institute of Engineering Science and Technology Shibpur,IR-E-U-0584,UG,4
2022,546,479,730000,50,Indian Institute of Engineering Science and Technology Shibpur,IR-E-U-0584,UG,4
2023,629,567,850000,60,Indian Institute of Engineering Science and Technology Shibpur,IR-E-U-0584,UG,4
2021,235,48,736000,72,Indian Institute of Engineering Science and Technology Shibpur,IR-E-U-0584,PG,2
2022,256,132,750000,98,Indian Institute of Engineering Science and Technology Shibpur,IR-E-U-0584,PG,2
2023,205,136,750000,57,Indian Institute of Engineering Science and Technology Shibpur,IR-E-U-0584,PG,2
2021,588,474,750000,28,National Institute of Technology Silchar,IR-E-U-0055,UG,4
2022,662,600,1100000,22,National Institute of Technology Silchar,IR-E-U-0055,UG,4
2023,823,694,1395000,28,National Institute of Technology Silchar,IR-E-U-0055,UG,4
2021,179,85,650000,81,National Institute of Technology Silchar,IR-E-U-0055,PG,2
2022,249,124,600000,53,National Institute of Technology Silchar,IR-E-U-0055,PG,2
2023,179,109,600000,30,National Institute of Technology Silchar,IR-E-U-0055,PG,2
2021,326,274,1500000,26,Indraprastha Institute of Information Technology,IR-E-U-0105,UG,4
2022,355,340,1700000,13,Indraprastha Institute of Information Technology,IR-E-U-0105,UG,4
2023,425,390,1850000,33,Indraprastha Institute of Information Technology,IR-E-U-0105,UG,4
2021,193,187,1400000,2,Indraprastha Institute of Information Technology,IR-E-U-0105,PG,2
2022,213,208,1541000,2,Indraprastha Institute of Information Technology,IR-E-U-0105,PG,2
2021,702,379,650000,58,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,UG,4
2022,662,556,891000,83,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,UG,4
2023,750,666,900000,43,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,UG,4
2021,311,60,650000,74,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,PG,2
2022,335,131,720000,93,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,PG,2
2023,262,127,720000,68,Dr B R Ambedkar National Institute of Technology Jalandhar,IR-E-U-0374,PG,2
2021,1780,1200,360000,200,Amity University,IR-E-U-0497,UG,4
2022,1486,1227,450000,97,Amity University,IR-E-U-0497,UG,4
2023,1401,1198,630000,186,Amity University,IR-E-U-0497,UG,4
2021,122,95,343000,16,Amity University,IR-E-U-0497,PG,2
2022,118,101,500000,2,Amity University,IR-E-U-0497,PG,2
2021,93,70,380000,10,Amity University,IR-E-U-0497,PG-Integrated,5
2022,81,56,500000,5,Amity University,IR-E-U-0497,PG-Integrated,5
2023,82,61,463000,19,Amity University,IR-E-U-0497,PG-Integrated,5
2021,850,745,970000,92,National Institute of Technology Calicut,IR-E-U-0263,UG,4
2022,861,759,1080000,84,National Institute of Technology Calicut,IR-E-U-0263,UG,4
2023,894,811,1170000,75,National Institute of Technology Calicut,IR-E-U-0263,UG,4
2021,400,345,935000,52,National Institute of Technology Calicut,IR-E-U-0263,PG,2
2022,421,364,980000,45,National Institute of Technology Calicut,IR-E-U-0263,PG,2
2023,428,390,1120000,30,National Institute of Technology Calicut,IR-E-U-0263,PG,2
2021,708,479,690000,136,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,UG,4
2022,733,568,801000,129,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,UG,4
2023,788,656,950000,81,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,UG,4
2021,299,80,690000,56,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,PG,2
2022,376,252,650000,58,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,PG,2
2021,860,707,900000,124,Motilal Nehru National Institute of Technology,IR-E-U-0530,UG,4
2022,889,768,1200000,78,Motilal Nehru National Institute of Technology,IR-E-U-0530,UG,4
2023,905,803,1700000,4,Motilal Nehru National Institute of Technology,IR-E-U-0530,UG,4
2021,367,104,1065000,53,Motilal Nehru National Institute of Technology,IR-E-U-0530,PG,2
2022,430,208,1100000,30,Motilal Nehru National Institute of Technology,IR-E-U-0530,PG,2
2021,152,76,4750000,15,University of Hyderabad,IR-E-U-0042,PG,2
2022,174,82,440000,25,University of Hyderabad,IR-E-U-0042,PG,2
2023,78,36,660000,42,University of Hyderabad,IR-E-U-0042,PG,2
2021,10,9,650000,1,University of Hyderabad,IR-E-U-0042,PG-Integrated,5
2022,20,18,730000,2,University of Hyderabad,IR-E-U-0042,PG-Integrated,5
2023,16,12,620000,4,University of Hyderabad,IR-E-U-0042,PG-Integrated,5
2021,867,718,560000,77,Banasthali Vidyapith,IR-E-U-0389,UG,4
2022,853,759,750000,71,Banasthali Vidyapith,IR-E-U-0389,UG,4
2023,885,864,905000,16,Banasthali Vidyapith,IR-E-U-0389,UG,4
2021,42,15,450000,8,Banasthali Vidyapith,IR-E-U-0389,PG,2
2022,44,19,560000,11,Banasthali Vidyapith,IR-E-U-0389,PG,2
2021,2197,1352,360000,349,Sathyabama Institute of Science and Technology,IR-E-U-0474,UG,4
2022,1452,1186,425000,255,Sathyabama Institute of Science and Technology,IR-E-U-0474,UG,4
2023,2243,1356,482102,210,Sathyabama Institute of Science and Technology,IR-E-U-0474,UG,4
2021,72,66,470000,5,Sathyabama Institute of Science and Technology,IR-E-U-0474,PG,2
2022,139,89,490000,31,Sathyabama Institute of Science and Technology,IR-E-U-0474,PG,2
2021,4317,4026,400000,138,S R M Institute of Science and Technology,IR-E-U-0473,UG,4
2022,4260,3960,449000,121,S R M Institute of Science and Technology,IR-E-U-0473,UG,4
2023,4195,4031,610000,78,S R M Institute of Science and Technology,IR-E-U-0473,UG,4
2021,318,237,525000,12,S R M Institute of Science and Technology,IR-E-U-0473,PG,2
2022,359,329,550000,29,S R M Institute of Science and Technology,IR-E-U-0473,PG,2
2021,0,0,0,0,S R M Institute of Science and Technology,IR-E-U-0473,PG-Integrated,5
2022,0,0,0,0,S R M Institute of Science and Technology,IR-E-U-0473,PG-Integrated,5
2023,0,0,0,0,S R M Institute of Science and Technology,IR-E-U-0473,PG-Integrated,5
2021,164,96,800000,32,National Institute of Technology Delhi,IR-E-U-0622,UG,4
2022,163,142,1475000,15,National Institute of Technology Delhi,IR-E-U-0622,UG,4
2023,164,143,1550000,17,National Institute of Technology Delhi,IR-E-U-0622,UG,4
2021,54,16,1198000,13,National Institute of Technology Delhi,IR-E-U-0622,PG,2
2022,56,33,1500000,5,National Institute of Technology Delhi,IR-E-U-0622,PG,2
2021,638,509,712500,38,National Institute of Technology Rourkela,IR-E-U-0357,UG,4
2022,712,640,1000000,15,National Institute of Technology Rourkela,IR-E-U-0357,UG,4
2023,910,795,1250000,40,National Institute of Technology Rourkela,IR-E-U-0357,UG,4
2021,112,75,800000,6,National Institute of Technology Rourkela,IR-E-U-0357,PG-Integrated,5
2022,36,29,697000,1,National Institute of Technology Rourkela,IR-E-U-0357,PG-Integrated,5
2023,34,29,750000,1,National Institute of Technology Rourkela,IR-E-U-0357,PG-Integrated,5
2021,124,108,650000,10,National Institute of Technology Meghalaya,IR-E-U-0619,UG,4
2022,147,91,945000,5,National Institute of Technology Meghalaya,IR-E-U-0619,UG,4
2023,146,118,1000000,11,National Institute of Technology Meghalaya,IR-E-U-0619,UG,4
2021,37,10,625000,20,National Institute of Technology Meghalaya,IR-E-U-0619,PG,2
2022,37,12,816000,7,National Institute of Technology Meghalaya,IR-E-U-0619,PG,2
2021,171,129,1200000,42,Indian Institute of Technology Jodhpur,IR-E-U-0395,UG,4
2022,207,164,1500000,43,Indian Institute of Technology Jodhpur,IR-E-U-0395,UG,4
2023,312,256,1600000,56,Indian Institute of Technology Jodhpur,IR-E-U-0395,UG,4
2021,126,74,1000000,48,Indian Institute of Technology Jodhpur,IR-E-U-0395,PG,2
2022,127,83,1150000,44,Indian Institute of Technology Jodhpur,IR-E-U-0395,PG,2
2023,124,91,1000000,29,Indian Institute of Technology Jodhpur,IR-E-U-0395,PG,2
2021,864,632,1300000,120,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,UG,4
2022,896,826,1600000,70,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,UG,4
2023,1153,977,1700000,86,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,UG,4
2021,124,67,1000000,20,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,PG,2
2022,196,151,1400000,20,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,PG,2
2023,135,93,1500000,30,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,PG,2
2021,1730,1504,600000,142,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,UG,4
2022,1751,1548,750000,102,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,UG,4
2023,1806,1617,760000,115,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,UG,4
2021,94,50,400000,27,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG,2
2022,84,50,550000,7,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG,2
2021,80,65,400000,9,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG-Integrated,5
2022,62,50,550000,2,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG-Integrated,5
2023,45,33,550000,12,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG-Integrated,5
2021,1121,877,550000,233,M S Ramaiah Institute of Technology,IR-E-C-1331,UG,4
2022,1124,897,615000,140,M S Ramaiah Institute of Technology,IR-E-C-1331,UG,4
2023,1121,841,800000,167,M S Ramaiah Institute of Technology,IR-E-C-1331,UG,4
2021,177,136,550000,8,M S Ramaiah Institute of Technology,IR-E-C-1331,PG,2
2022,181,142,600000,5,M S Ramaiah Institute of Technology,IR-E-C-1331,PG,2
2021,158,114,900000,25,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG,4
2022,173,100,1417000,40,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG,4
2023,188,123,1600000,26,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG,4
2021,0,0,0,0,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG,5
2022,0,0,0,0,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG,5
2021,130,79,850000,38,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG,2
2022,35,20,1101000,12,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG,2
2023,35,20,1375000,8,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG,2
2021,615,428,360000,83,SR University,IR-E-C-19754,UG,4
2022,616,472,400000,65,SR University,IR-E-C-19754,UG,4
2023,622,414,401988,108,SR University,IR-E-C-19754,UG,4
2021,82,48,450000,14,SR University,IR-E-C-19754,PG,2
2022,108,72,450000,11,SR University,IR-E-C-19754,PG,2
2021,200,190,1700000,10,Defence Institute of Advanced Technology,IR-E-U-0297,PG,2
2022,215,208,1950000,7,Defence Institute of Advanced Technology,IR-E-U-0297,PG,2
2023,295,265,2000000,15,Defence Institute of Advanced Technology,IR-E-U-0297,PG,2
2021,645,525,600000,82,National Institute of Technology Agartala,IR-E-U-0493,UG,4
