Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates per annum(Amount in Rs.),No. of students selected for Higher Studies,College,CollegeID,Batch
2020-21,771,618,1000000(Ten lakhs),74,National Institute of Technology Warangal,IR-E-U-0025,UG [4 Years Program(s)]
2021-22,869,639,"1592000(Fifteen lakhs
ninety two thousand)",62,National Institute of Technology Warangal,IR-E-U-0025,UG [4 Years Program(s)]
2022-23,1064,872,"1500000(Fifteen
Lakhs)",79,National Institute of Technology Warangal,IR-E-U-0025,UG [4 Years Program(s)]
2020-21,526,178,800000(Eight lakhs),51,National Institute of Technology Warangal,IR-E-U-0025,PG [2 Years Program(s)]
2021-22,542,336,"1175000(Eleven lakhs
seventy five thousand)",45,National Institute of Technology Warangal,IR-E-U-0025,PG [2 Years Program(s)]
2022-23,542,452,1000000(Ten Lakhs),43,National Institute of Technology Warangal,IR-E-U-0025,PG [2 Years Program(s)]
2020-21,225,98,600000(Six Lakhs),32,National Institute of Technology Puducherry,IR-E-U-0621,UG [4 Years Program(s)]
2021-22,238,166,"755000(Seven Lakhs
Fifty Five Thousand)",30,National Institute of Technology Puducherry,IR-E-U-0621,UG [4 Years Program(s)]
2022-23,243,155,"980000(Nine Lakh
Eighty Thousand
Rupees Only)",20,National Institute of Technology Puducherry,IR-E-U-0621,UG [4 Years Program(s)]
2020-21,31,9,"650000(Six Lakhs Fifty
Thousand)",8,National Institute of Technology Puducherry,IR-E-U-0621,PG [2 Years Program(s)]
2021-22,21,16,1000000(Ten Lakhs),3,National Institute of Technology Puducherry,IR-E-U-0621,PG [2 Years Program(s)]
2022-23,21,15,"1055000(Ten Lakh
Fifty Five Thousand
Rupees Only)",1,National Institute of Technology Puducherry,IR-E-U-0621,PG [2 Years Program(s)]
2020-21,425,338,1500000(Fifteen lakh),30,Indian Institute of Technology Kharagpur,IR-E-U-0573,UG [4 Years Program(s)]
2021-22,450,377,"1875000(Eighteen lakh
seventy five thousand)",41,Indian Institute of Technology Kharagpur,IR-E-U-0573,UG [4 Years Program(s)]
2022-23,580,460,"2400000(Twenty Four
Lakh)",40,Indian Institute of Technology Kharagpur,IR-E-U-0573,UG [4 Years Program(s)]
2020-21,1001,386,"1135000(Eleven lakh
Thirty five thousand)",370,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [2 Years Program(s)]
2021-22,976,490,"1350000(Thirteen lakh
Fifty thousand)",193,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [2 Years Program(s)]
2022-23,1034,555,"1250000(Twelve Lakh
Fifty Thousand)",182,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [2 Years Program(s)]
2020-21,8,0,0(Zero),3,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [3 Years Program(s)]
2021-22,11,3,"1800000(Eighteen
Lakh)",1,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [3 Years Program(s)]
2022-23,11,7,"1800000(Eighteen
Lakh)",3,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [3 Years Program(s)]
2020-21,115,84,1000000(Ten Lakh),13,Indian Institute of Technology Bhilai,IR-E-U-0946,UG [4 Years Program(s)]
2021-22,117,101,"1400000(Fourteen
Lakh)",1,Indian Institute of Technology Bhilai,IR-E-U-0946,UG [4 Years Program(s)]
2022-23,126,101,1500000(Fifteen Lakh),4,Indian Institute of Technology Bhilai,IR-E-U-0946,UG [4 Years Program(s)]
2020-21,17,11,1100000(Eleven Lakh),5,Indian Institute of Technology Bhilai,IR-E-U-0946,PG [2 Years Program(s)]
2021-22,11,10,"950000(Nine Lakh Fifty
Thousand)",1,Indian Institute of Technology Bhilai,IR-E-U-0946,PG [2 Years Program(s)]
2022-23,24,21,1000000(Ten Lakhs),3,Indian Institute of Technology Bhilai,IR-E-U-0946,PG [2 Years Program(s)]
2020-21,768,624,"1672000(Sixteen
Lakhs Seventy Two
Thousand Only)",144,Indian Institute of Technology Roorkee,IR-E-U-0560,UG [4 Years Program(s)]
2021-22,824,737,"1700000(Seventeen
Lakhs Only)",87,Indian Institute of Technology Roorkee,IR-E-U-0560,UG [4 Years Program(s)]
2022-23,911,733,"1969000(Nineteen
Lakhs Sixty Nine
Thousand )",178,Indian Institute of Technology Roorkee,IR-E-U-0560,UG [4 Years Program(s)]
2020-21,600,140,"710000(Seven Lakhs
Ten Thousand Only)",315,Indian Institute of Technology Roorkee,IR-E-U-0560,PG [2 Years Program(s)]
2021-22,595,231,"1270000(Twelve Lakhs
Seventy Thousand
Only)",364,Indian Institute of Technology Roorkee,IR-E-U-0560,PG [2 Years Program(s)]
2022-23,558,274,"1200000(Twelve
Lakhs)",284,Indian Institute of Technology Roorkee,IR-E-U-0560,PG [2 Years Program(s)]
2020-21,88,81,"2055000(Twenty
Lakhs Fifty Five
Thousand Only)",7,Indian Institute of Technology Roorkee,IR-E-U-0560,PG-Integrated [5 Years Program(s)]
2021-22,123,95,"2254000(Twenty Two
Lakhs Fifty Four
Thousand Only)",28,Indian Institute of Technology Roorkee,IR-E-U-0560,PG-Integrated [5 Years Program(s)]
2022-23,114,86,"2320000(Twenty Three
Lakhs Twenty
Thousand)",28,Indian Institute of Technology Roorkee,IR-E-U-0560,PG-Integrated [5 Years Program(s)]
2020-21,1166,1084,"480000(Four Lakh
Eighty Thousand Only)",52,Kalasalingam Academy of Research and Education,IR-E-U-0458,UG [4 Years Program(s)]
2021-22,1220,1147,"550000(Five Lakh Fifty
Thousand Only)",55,Kalasalingam Academy of Research and Education,IR-E-U-0458,UG [4 Years Program(s)]
2022-23,1278,1219,"675000(Six Lakh
Seventy Five
Thousand)",50,Kalasalingam Academy of Research and Education,IR-E-U-0458,UG [4 Years Program(s)]
2020-21,130,108,"578000(Five Lakh
Seventy Eight
Thousand Only)",2,Kalasalingam Academy of Research and Education,IR-E-U-0458,PG [2 Years Program(s)]
