CollegeID,College,City,State,Program,Duration(Years),Total Graduating students,Year Placed,Students placed,Median salary per annum(Rs.),Higher Studies Student
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,UG,4,771,2021,618,1000000,74
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,UG,4,869,2022,639,1592000,62
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,UG,4,1064,2023,872,1500000,79
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,PG,2,526,2021,178,800000,51
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,PG,2,542,2022,336,1175000,45
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,PG,2,542,2023,452,1000000,43
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,UG,4,663,2018,543,837000,60
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,UG,4,752,2019,644,901325,65
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,UG,4,720,2020,572,900000,69
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,PG,2,421,2018,231,744917,47
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,PG,2,381,2019,206,745372,54
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,PG,2,416,2020,143,809000,46
IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,UG,4,225,2021,98,600000,32
IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,UG,4,238,2022,166,755000,30
IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,UG,4,243,2023,155,980000,20
IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,PG,2,31,2021,9,650000,8
IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,PG,2,21,2022,16,1000000,3
IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,PG,2,21,2023,15,1055000,1
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,UG,4,425,2021,338,1500000,30
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,UG,4,450,2022,377,1875000,41
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,UG,4,580,2023,460,2400000,40
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,PG,2,1001,2021,386,1135000,370
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,PG,2,976,2022,490,1350000,193
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,PG,2,1034,2023,555,1250000,182
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,PG,3,8,2021,0,0,3
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,PG,3,11,2022,3,1800000,1
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,PG,3,11,2023,7,1800000,3
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,UG,4,475,2018,391,1275000,44
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,UG,4,535,2019,437,1420059,53
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,UG,4,451,2020,416,1600000,32
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,PG,2,826,2018,418,900000,212
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,PG,2,880,2019,372,1674733,159
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,PG,2,814,2020,235,1200000,135
