Dept Name,Dept Link
Biotechnology,https://www.nitw.ac.in/bio
Chemical Engineering,https://www.nitw.ac.in/chem
Chemistry,https://www.nitw.ac.in/che
Civil Engineering,https://www.nitw.ac.in/ce
Computer Science and Engineering,https://www.nitw.ac.in/cse
Electrical Engineering,https://www.nitw.ac.in/eee
Electronics and Communication Engineering,https://www.nitw.ac.in/ece
Humanities and Social Science,https://www.nitw.ac.in/hss
Management Studies,https://www.nitw.ac.in/som
Mathematics,https://www.nitw.ac.in/math
Mechanical Engineering,https://www.nitw.ac.in/mec
Metallurgical and Materials Engineering,https://nitw.ac.in/mme
Physics,https://nitw.ac.in/physics
